Country,Year,Inflation
Latin America & Caribbean,2002,3.950116637
Least developed countries: UN classification,2002,4.464264007
Low income,2002,3.300121753
Liechtenstein,2002,
Sri Lanka,2002,9.55103167
Lower middle income,2002,3.432803538
Low & middle income,2002,4.268709323
Lesotho,2002,33.81257834
Late-demographic dividend,2002,2.801155052
Lithuania,2002,0.28150661
Luxembourg,2002,2.074086136
Latvia,2002,1.938875739
"Macao SAR, China",2002,-2.637516998
St. Martin (French part),2002,
Morocco,2002,2.795619669
Monaco,2002,
Moldova,2002,5.301243903
Madagascar,2002,16.49852553
Maldives,2002,4.178672399
Middle East & North Africa,2002,1.83299389
Mexico,2002,5.030727332
Marshall Islands,2002,
Middle income,2002,4.297152039
North Macedonia,2002,2.314597941
Mali,2002,5.032822757
Malta,2002,2.188490481
Myanmar,2002,57.07451126
Middle East & North Africa (excluding high income),2002,2.729135699
Montenegro,2002,
Mongolia,2002,0.917074687
Northern Mariana Islands,2002,
Mozambique,2002,
Mauritania,2002,3.895705258
Mauritius,2002,6.419333722
Malawi,2002,14.74463461
Malaysia,2002,1.807872463
North America,2002,1.922213018
Namibia,2002,
New Caledonia,2002,
Niger,2002,2.628865979
Nigeria,2002,12.8765792
Nicaragua,2002,3.750174658
Netherlands,2002,3.287531047
Norway,2002,1.286725284
Nepal,2002,3.029399487
Nauru,2002,
New Zealand,2002,2.677092577
OECD members,2002,2.477360679
Oman,2002,-0.279578823
Other small states,2002,3.416581948
Pakistan,2002,3.290344726
Panama,2002,1.005830904
Peru,2002,0.193135004
Philippines,2002,2.722772277
Palau,2002,-1.301236174
Papua New Guinea,2002,11.7994471
Poland,2002,1.90528215
Pre-demographic dividend,2002,4.378759718
Puerto Rico,2002,
"Korea, Dem. People's Rep.",2002,
Portugal,2002,3.600346583
Paraguay,2002,10.51024209
West Bank and Gaza,2002,5.70951586
Pacific island small states,2002,1.963567542
Post-demographic dividend,2002,1.998749211
French Polynesia,2002,
Qatar,2002,0.24
Romania,2002,22.53988626
Russian Federation,2002,15.78873079
Rwanda,2002,1.992585425
South Asia,2002,3.332564933
Saudi Arabia,2002,0.247186514
Sudan,2002,22.22472415
Senegal,2002,2.337301875
Singapore,2002,-0.391676867
Solomon Islands,2002,10.92963419
Sierra Leone,2002,
El Salvador,2002,1.865525036
San Marino,2002,
Somalia,2002,
Serbia,2002,19.49083216
Sub-Saharan Africa (excluding high income),2002,5.032822757
South Sudan,2002,
Sub-Saharan Africa,2002,4.705791237
Small states,2002,2.628256097
Sao Tome and Principe,2002,10.12872467
Suriname,2002,15.52739892
Slovak Republic,2002,3.12714223
Slovenia,2002,7.480777707
Sweden,2002,2.158482136
Eswatini,2002,12.01971547
Sint Maarten (Dutch part),2002,
Seychelles,2002,0.175
Syrian Arab Republic,2002,-0.130505282
Turks and Caicos Islands,2002,
Chad,2002,5.191818952
East Asia & Pacific (IDA & IBRD countries),2002,2.34316991
Europe & Central Asia (IDA & IBRD countries),2002,5.698990479
Togo,2002,3.059818575
Thailand,2002,0.697308977
Tajikistan,2002,12.24998478
Turkmenistan,2002,
Latin America & the Caribbean (IDA & IBRD countries),2002,4.635496969
Timor-Leste,2002,
Middle East & North Africa (IDA & IBRD countries),2002,2.721032849
Tonga,2002,10.35906079
South Asia (IDA & IBRD),2002,3.332564933
Sub-Saharan Africa (IDA & IBRD countries),2002,4.705791237
Trinidad and Tobago,2002,4.150058617
Tunisia,2002,2.721032849
Turkiye,2002,44.96412095
Tuvalu,2002,
Tanzania,2002,5.317833661
Uganda,2002,-0.287508512
Ukraine,2002,0.757420846
Upper middle income,2002,5.70951586
Uruguay,2002,13.97247259
United States,2002,1.586031627
Uzbekistan,2002,
St. Vincent and the Grenadines,2002,1.85550399
"Venezuela, RB",2002,
British Virgin Islands,2002,
Virgin Islands (U.S.),2002,
Viet Nam,2002,3.830828382
Vanuatu,2002,1.963567542
World,2002,2.90799857
Samoa,2002,8.050314465
Kosovo,2002,
"Yemen, Rep.",2002,12.23853394
South Africa,2002,9.494710703
Zambia,2002,22.23334464
Zimbabwe,2002,
Aruba,2003,3.656365079
Africa Eastern and Southern,2003,7.44970014
Afghanistan,2003,
Africa Western and Central,2003,1.760904101
Angola,2003,98.22414366
Albania,2003,0.484002612
Andorra,2003,
Arab World,2003,2.712592475
United Arab Emirates,2003,
Argentina,2003,
Armenia,2003,4.721553366
American Samoa,2003,
Antigua and Barbuda,2003,1.993530552
Australia,2003,2.732595966
Austria,2003,1.355553709
Azerbaijan,2003,2.23386493
Burundi,2003,10.64746457
Belgium,2003,1.588964
Benin,2003,1.487242461
Burkina Faso,2003,2.034565741
Bangladesh,2003,5.668707734
Bulgaria,2003,2.348641696
Bahrain,2003,1.593625498
"Bahamas, The",2003,3.025045263
Bosnia and Herzegovina,2003,
Belarus,2003,28.39783991
Belize,2003,2.318082747
Bermuda,2003,
Bolivia,2003,3.337274997
Brazil,2003,14.71491972
Barbados,2003,1.619433198
Brunei Darussalam,2003,0.3
Bhutan,2003,2.572308617
Botswana,2003,9.189902656
Central African Republic,2003,4.134709052
Canada,2003,2.758563214
Central Europe and the Baltics,2003,2.348641696
Switzerland,2003,0.638272931
Channel Islands,2003,
Chile,2003,2.810178757
China,2003,1.127603487
Cote d'Ivoire,2003,3.29680747
Cameroon,2003,0.623163557
"Congo, Dem. Rep.",2003,12.87396572
"Congo, Rep.",2003,-0.631844987
Colombia,2003,7.129788629
Comoros,2003,3.799081367
Cabo Verde,2003,1.188170386
Costa Rica,2003,9.447580916
Caribbean small states,2003,2.235436644
Cuba,2003,
Curacao,2003,1.633713914
Cayman Islands,2003,
Cyprus,2003,4.139065387
Czechia,2003,0.118739206
Germany,2003,1.034222186
Djibouti,2003,1.981967346
Dominica,2003,1.453368004
Denmark,2003,2.075078206
Dominican Republic,2003,27.44971274
Algeria,2003,4.268953958
East Asia & Pacific (excluding high income),2003,3.234648173
Early-demographic dividend,2003,5.452932243
East Asia & Pacific,2003,2.289156627
Europe & Central Asia (excluding high income),2003,4.950615593
Europe & Central Asia,2003,2.348641696
Ecuador,2003,7.929364875
"Egypt, Arab Rep.",2003,4.507776363
Euro area,2003,2.098472191
Eritrea,2003,
Spain,2003,3.038888394
Estonia,2003,1.334991165
Ethiopia,2003,13.6740452
European Union,2003,2.09199839
Fragile and conflict affected situations,2003,5.488253634
Finland,2003,0.877440386
Fiji,2003,4.172747778
France,2003,2.098472191
Faroe Islands,2003,
"Micronesia, Fed. Sts.",2003,0.126643348
Gabon,2003,2.235353136
United Kingdom,2003,1.376500385
Georgia,2003,0.837734532
Ghana,2003,29.77297972
Gibraltar,2003,
Guinea,2003,
"Gambia, The",2003,17.03286654
Guinea-Bissau,2003,-3.502585511
Equatorial Guinea,2003,7.323543994
Greece,2003,3.530650278
Grenada,2003,2.154928099
Greenland,2003,
Guatemala,2003,5.603476754
Guam,2003,
Guyana,2003,5.980978141
High income,2003,2.052751802
"Hong Kong SAR, China",2003,-2.673796791
Honduras,2003,7.674166394
Heavily indebted poor countries (HIPC),2003,5.302387732
Croatia,2003,1.767337808
Haiti,2003,28.69957779
Hungary,2003,4.661016949
IBRD only,2003,4.388365161
IDA & IBRD total,2003,4.546900121
IDA total,2003,5.302387732
IDA blend,2003,2.154928099
Indonesia,2003,6.757317194
IDA only,2003,5.687858527
Isle of Man,2003,
India,2003,3.805858995
Not classified,2003,
Ireland,2003,3.49048968
"Iran, Islamic Rep.",2003,16.46801162
Iraq,2003,33.6162106
Iceland,2003,2.055663298
Israel,2003,0.702756122
Italy,2003,2.672555528
Jamaica,2003,10.08695652
Jordan,2003,1.63
Japan,2003,-0.256541816
Kazakhstan,2003,6.438218101
Kenya,2003,9.81569063
Kyrgyz Republic,2003,2.974612952
Cambodia,2003,0.941746118
Kiribati,2003,
St. Kitts and Nevis,2003,2.235436644
"Korea, Rep.",2003,3.514874515
Kuwait,2003,0.961350294
Latin America & Caribbean (excluding high income),2003,5.603476754
Lao PDR,2003,15.48935292
Lebanon,2003,
Liberia,2003,10.33028812
Libya,2003,-2.19115192
St. Lucia,2003,1.034253724
Latin America & Caribbean,2003,3.733735662
Least developed countries: UN classification,2003,6.489432087
Low income,2003,6.489432087
Liechtenstein,2003,
Sri Lanka,2003,6.314637871
Lower middle income,2003,5.128994994
Low & middle income,2003,5.128994994
Lesotho,2003,6.629163571
Late-demographic dividend,2003,3.234648173
Lithuania,2003,-1.13430855
Luxembourg,2003,2.049840306
Latvia,2003,2.942647529
"Macao SAR, China",2003,-1.562452037
St. Martin (French part),2003,
Morocco,2003,1.167733675
Monaco,2003,
Moldova,2003,11.74607921
Madagascar,2003,-1.704004796
Maldives,2003,-1.260651135
Middle East & North Africa,2003,1.981967346
Mexico,2003,4.546900121
Marshall Islands,2003,
Middle income,2003,4.634226744
North Macedonia,2003,0.855562123
Mali,2003,-1.34672619
Malta,2003,1.303837774
Myanmar,2003,36.58971753
Middle East & North Africa (excluding high income),2003,4.335993088
Montenegro,2003,
Mongolia,2003,5.128994994
Northern Mariana Islands,2003,
Mozambique,2003,
Mauritania,2003,5.151901508
Mauritius,2003,3.921053576
Malawi,2003,9.576797869
Malaysia,2003,1.089676326
North America,2003,2.514329093
Namibia,2003,7.136153115
New Caledonia,2003,
Niger,2003,-1.614407692
Nigeria,2003,14.03178361
Nicaragua,2003,5.302387732
Netherlands,2003,2.09199839
Norway,2003,2.487825535
Nepal,2003,5.707009319
Nauru,2003,
New Zealand,2003,1.753574448
OECD members,2003,2.184283582
Oman,2003,0.231328682
Other small states,2003,2.937431241
Pakistan,2003,2.914134701
Panama,2003,0.391666667
Peru,2003,2.259377534
Philippines,2003,2.289156627
Palau,2003,0.922874094
Papua New Guinea,2003,14.70907797
Poland,2003,0.682701376
Pre-demographic dividend,2003,5.227733861
Puerto Rico,2003,
"Korea, Dem. People's Rep.",2003,
Portugal,2003,3.218990907
Paraguay,2003,14.23679705
West Bank and Gaza,2003,4.403032217
Pacific island small states,2003,3.016241299
Post-demographic dividend,2003,2.021685429
French Polynesia,2003,
Qatar,2003,2.264565044
Romania,2003,15.27348899
Russian Federation,2003,13.66329302
Rwanda,2003,7.44970014
South Asia,2003,3.805858995
Saudi Arabia,2003,0.612194395
Sudan,2003,6.489432087
Senegal,2003,-0.051997024
Singapore,2003,0.5079053
Solomon Islands,2003,8.269463493
Sierra Leone,2003,
El Salvador,2003,2.120390917
San Marino,2003,
Somalia,2003,
Serbia,2003,9.876178897
Sub-Saharan Africa (excluding high income),2003,6.084424899
South Sudan,2003,
Sub-Saharan Africa,2003,5.679417711
Small states,2003,2.445195682
Sao Tome and Principe,2003,9.792419749
Suriname,2003,23.00223218
Slovak Republic,2003,8.554143054
Slovenia,2003,5.544164218
Sweden,2003,1.925655349
Eswatini,2003,7.29
Sint Maarten (Dutch part),2003,
Seychelles,2003,3.302553864
Syrian Arab Republic,2003,5.796829449
Turks and Caicos Islands,2003,
Chad,2003,-1.752569412
East Asia & Pacific (IDA & IBRD countries),2003,3.234648173
Europe & Central Asia (IDA & IBRD countries),2003,4.721553366
Togo,2003,-0.930000884
Thailand,2003,1.804349946
Tajikistan,2003,16.3034912
Turkmenistan,2003,
Latin America & the Caribbean (IDA & IBRD countries),2003,4.924643927
Timor-Leste,2003,7.165158914
Middle East & North Africa (IDA & IBRD countries),2003,4.268953958
Tonga,2003,11.63862196
South Asia (IDA & IBRD),2003,3.805858995
Sub-Saharan Africa (IDA & IBRD countries),2003,5.679417711
Trinidad and Tobago,2003,3.811106244
Tunisia,2003,2.712592475
Turkiye,2003,21.60243845
Tuvalu,2003,
Tanzania,2003,5.303566215
Uganda,2003,8.680476516
Ukraine,2003,5.179677819
Upper middle income,2003,4.546900121
Uruguay,2003,19.37973017
United States,2003,2.270094973
Uzbekistan,2003,
St. Vincent and the Grenadines,2003,0.205981709
"Venezuela, RB",2003,
British Virgin Islands,2003,
Virgin Islands (U.S.),2003,
Viet Nam,2003,3.234648173
Vanuatu,2003,3.016241299
World,2003,3.025045263
Samoa,2003,0.115830116
Kosovo,2003,-1.084812623
"Yemen, Rep.",2003,10.8323607
South Africa,2003,5.679417711
Zambia,2003,21.40157839
Zimbabwe,2003,
Aruba,2004,2.529129469
Africa Eastern and Southern,2004,5.023420686
Afghanistan,2004,
Africa Western and Central,2004,0.694336306
Angola,2004,43.54210675
Albania,2004,2.280019169
Andorra,2004,
Arab World,2004,3.63228005
United Arab Emirates,2004,
Argentina,2004,
Armenia,2004,6.961261359
American Samoa,2004,
Antigua and Barbuda,2004,2.030077579
Australia,2004,2.343255225
Austria,2004,2.06120618
Azerbaijan,2004,6.708930428
Burundi,2004,8.176429375
Belgium,2004,2.097283112
Benin,2004,0.873890831
Burkina Faso,2004,-0.400228702
Bangladesh,2004,7.587536385
Bulgaria,2004,6.147130742
Bahrain,2004,2.352941176
"Bahamas, The",2004,0.981914037
Bosnia and Herzegovina,2004,
Belarus,2004,18.10824249
Belize,2004,6.394430997
Bermuda,2004,
Bolivia,2004,4.437380801
Brazil,2004,6.5971851
Barbados,2004,1.394422311
Brunei Darussalam,2004,0.814223995
Bhutan,2004,4.105936983
Botswana,2004,6.945703637
Central African Republic,2004,-2.066406011
Canada,2004,1.857258719
Central Europe and the Baltics,2004,3.592975942
Switzerland,2004,0.802908731
Channel Islands,2004,
Chile,2004,1.054738714
China,2004,3.824637431
Cote d'Ivoire,2004,1.457988356
Cameroon,2004,0.23364738
"Congo, Dem. Rep.",2004,3.994384008
"Congo, Rep.",2004,2.42976608
Colombia,2004,5.904020055
Comoros,2004,4.474992891
Cabo Verde,2004,-1.890821723
Costa Rica,2004,12.31481502
Caribbean small states,2004,2.394109821
Cuba,2004,
Curacao,2004,1.379121381
Cayman Islands,2004,
Cyprus,2004,2.286217068
Czechia,2004,2.760107817
Germany,2004,1.665736967
Djibouti,2004,3.122262047
Dominica,2004,2.394109821
Denmark,2004,1.154356931
Dominican Republic,2004,51.46085983
Algeria,2004,3.961800303
East Asia & Pacific (excluding high income),2004,4.534213741
Early-demographic dividend,2004,4.435261084
East Asia & Pacific,2004,3.23751394
Europe & Central Asia (excluding high income),2004,6.921657874
Europe & Central Asia,2004,2.829477962
Ecuador,2004,2.743231989
"Egypt, Arab Rep.",2004,11.27061933
Euro area,2004,2.225679164
Eritrea,2004,
Spain,2004,3.039248811
Estonia,2004,3.048111075
Ethiopia,2004,3.327370479
European Union,2004,2.286217068
Fragile and conflict affected situations,2004,3.282442209
Finland,2004,0.187120559
Fiji,2004,2.827485194
France,2004,2.142089646
Faroe Islands,2004,
"Micronesia, Fed. Sts.",2004,2.276696982
Gabon,2004,0.408205307
United Kingdom,2004,1.390397567
Georgia,2004,5.656326362
Ghana,2004,18.04273882
Gibraltar,2004,
Guinea,2004,
"Gambia, The",2004,14.20674328
Guinea-Bissau,2004,0.883302697
Equatorial Guinea,2004,4.219687871
Greece,2004,2.898848108
Grenada,2004,2.312916782
Greenland,2004,
Guatemala,2004,7.578622473
Guam,2004,
Guyana,2004,4.668466224
High income,2004,2.142089646
"Hong Kong SAR, China",2004,-0.274725275
Honduras,2004,8.113790971
Heavily indebted poor countries (HIPC),2004,4.474992891
Croatia,2004,2.055396791
Haiti,2004,21.03183393
Hungary,2004,6.744346796
IBRD only,2004,4.769790719
IDA & IBRD total,2004,4.474992891
IDA total,2004,4.319336774
IDA blend,2004,2.42976608
Indonesia,2004,6.064059885
IDA only,2004,4.601339982
Isle of Man,2004,
India,2004,3.767251735
Not classified,2004,
Ireland,2004,2.199628507
"Iran, Islamic Rep.",2004,14.7615087
Iraq,2004,26.96190682
Iceland,2004,3.158193243
Israel,2004,-0.381637771
Italy,2004,2.206736614
Jamaica,2004,13.55450237
Jordan,2004,3.361868215
Japan,2004,-0.008573388
Kazakhstan,2004,6.88205439
Kenya,2004,11.62403554
Kyrgyz Republic,2004,4.110650847
Cambodia,2004,4.319336774
Kiribati,2004,
St. Kitts and Nevis,2004,2.314554622
"Korea, Rep.",2004,3.590662989
Kuwait,2004,1.248564437
Latin America & Caribbean (excluding high income),2004,5.904020055
Lao PDR,2004,10.46226673
Lebanon,2004,
Liberia,2004,7.829087049
Libya,2004,-2.197567741
St. Lucia,2004,1.460368144
Latin America & Caribbean,2004,4.380322865
Least developed countries: UN classification,2004,4.534213741
Low income,2004,3.994384008
Liechtenstein,2004,
Sri Lanka,2004,7.57592583
Lower middle income,2004,4.735801439
Low & middle income,2004,4.688408848
Lesotho,2004,5.023420686
Late-demographic dividend,2004,3.857303914
Lithuania,2004,1.164102521
Luxembourg,2004,2.225679164
Latvia,2004,6.192385472
"Macao SAR, China",2004,0.980728452
St. Martin (French part),2004,
Morocco,2004,1.493444034
Monaco,2004,
Moldova,2004,12.52427684
Madagascar,2004,13.9558018
Maldives,2004,-1.685412125
Middle East & North Africa,2004,3.122262047
Mexico,2004,4.688408848
Marshall Islands,2004,
Middle income,2004,4.72308602
North Macedonia,2004,-0.448650207
Mali,2004,-3.099781281
Malta,2004,2.790828481
Myanmar,2004,4.534213741
Middle East & North Africa (excluding high income),2004,3.797040176
Montenegro,2004,
Mongolia,2004,8.241154494
Northern Mariana Islands,2004,
Mozambique,2004,
Mauritania,2004,10.36762335
Mauritius,2004,4.710370601
Malawi,2004,11.42980608
Malaysia,2004,1.421271159
North America,2004,2.267247706
Namibia,2004,4.136632131
New Caledonia,2004,
Niger,2004,0.262543757
Nigeria,2004,14.99803382
Nicaragua,2004,8.470210636
Netherlands,2004,1.263647392
Norway,2004,0.454498502
Nepal,2004,2.841811312
Nauru,2004,
New Zealand,2004,2.290249028
OECD members,2004,2.257964096
Oman,2004,0.624969063
Other small states,2004,3.23751394
Pakistan,2004,7.444624693
Panama,2004,0.182618079
Peru,2004,3.662473201
Philippines,2004,4.829210836
Palau,2004,4.964075767
Papua New Guinea,2004,2.158931313
Poland,2004,3.382646819
Pre-demographic dividend,2004,4.10703594
Puerto Rico,2004,
"Korea, Dem. People's Rep.",2004,
Portugal,2004,2.365362041
Paraguay,2004,4.32326493
West Bank and Gaza,2004,3.004174986
Pacific island small states,2004,4.964075767
Post-demographic dividend,2004,2.079244646
French Polynesia,2004,
Qatar,2004,6.79933665
Romania,2004,11.87436359
Russian Federation,2004,10.88861573
Rwanda,2004,12.25071029
South Asia,2004,4.105936983
Saudi Arabia,2004,0.515506767
Sudan,2004,9.657546286
Senegal,2004,0.514781781
Singapore,2004,1.662727199
Solomon Islands,2004,6.985842027
Sierra Leone,2004,
El Salvador,2004,4.451943924
San Marino,2004,1.430838685
Somalia,2004,
Serbia,2004,11.02636272
Sub-Saharan Africa (excluding high income),2004,4.178160001
South Sudan,2004,
Sub-Saharan Africa,2004,4.136632131
Small states,2004,3.158193243
Sao Tome and Principe,2004,13.28588609
Suriname,2004,9.98632512
Slovak Republic,2004,7.548500882
Slovenia,2004,3.592975942
Sweden,2004,0.373659829
Eswatini,2004,3.445335073
Sint Maarten (Dutch part),2004,
Seychelles,2004,3.857303914
Syrian Arab Republic,2004,4.433141367
Turks and Caicos Islands,2004,
Chad,2004,-5.355400289
East Asia & Pacific (IDA & IBRD countries),2004,4.534213741
Europe & Central Asia (IDA & IBRD countries),2004,6.88205439
Togo,2004,0.393078681
Thailand,2004,2.759149262
Tajikistan,2004,7.141965087
Turkmenistan,2004,
Latin America & the Caribbean (IDA & IBRD countries),2004,4.560205074
Timor-Leste,2004,3.23751394
Middle East & North Africa (IDA & IBRD countries),2004,3.961800303
Tonga,2004,10.97340537
South Asia (IDA & IBRD),2004,4.105936983
Sub-Saharan Africa (IDA & IBRD countries),2004,4.136632131
Trinidad and Tobago,2004,3.72154939
Tunisia,2004,3.63228005
Turkiye,2004,8.598261681
Tuvalu,2004,
Tanzania,2004,4.735801439
Uganda,2004,3.72128744
Ukraine,2004,9.048067861
Upper middle income,2004,4.710370601
Uruguay,2004,9.157605075
United States,2004,2.677236693
Uzbekistan,2004,
St. Vincent and the Grenadines,2004,2.960039467
"Venezuela, RB",2004,
British Virgin Islands,2004,
Virgin Islands (U.S.),2004,
Viet Nam,2004,7.754947487
Vanuatu,2004,1.418918919
World,2004,3.517999031
Samoa,2004,16.31315079
Kosovo,2004,-1.064726966
"Yemen, Rep.",2004,12.51509515
South Africa,2004,-0.692030271
Zambia,2004,17.96778911
Zimbabwe,2004,
Aruba,2005,3.397786778
Africa Eastern and Southern,2005,8.558038022
Afghanistan,2005,12.68626872
Africa Western and Central,2005,5.631633514
Angola,2005,22.95351385
Albania,2005,2.366581957
Andorra,2005,
Arab World,2005,3.493685346
United Arab Emirates,2005,
Argentina,2005,
Armenia,2005,0.638928002
American Samoa,2005,
Antigua and Barbuda,2005,2.098751967
Australia,2005,2.691831683
Austria,2005,2.299137856
Azerbaijan,2005,9.679507319
Burundi,2005,13.25206992
Belgium,2005,2.781432637
Benin,2005,5.364520858
Burkina Faso,2005,6.415040184
Bangladesh,2005,7.046618162
Bulgaria,2005,5.038838071
Bahrain,2005,2.586206897
"Bahamas, The",2005,1.591606181
Bosnia and Herzegovina,2005,
Belarus,2005,10.33887945
Belize,2005,-1.104310444
Bermuda,2005,
Bolivia,2005,5.393231069
Brazil,2005,6.869537209
Barbados,2005,6.082187295
Brunei Darussalam,2005,1.244437119
Bhutan,2005,5.312631046
Botswana,2005,8.610225285
Central African Republic,2005,2.883520734
Canada,2005,2.213552034
Central Europe and the Baltics,2005,3.317178244
Switzerland,2005,1.171954203
Channel Islands,2005,
Chile,2005,3.052576214
China,2005,1.776414077
Cote d'Ivoire,2005,3.885830399
Cameroon,2005,2.013539502
"Congo, Dem. Rep.",2005,21.31681672
"Congo, Rep.",2005,3.094490115
Colombia,2005,5.051019627
Comoros,2005,3.013323951
Cabo Verde,2005,0.418891613
Costa Rica,2005,13.79829491
Caribbean small states,2005,3.733429165
Cuba,2005,
Curacao,2005,4.117117117
Cayman Islands,2005,
Cyprus,2005,2.560161323
Czechia,2005,1.857097891
Germany,2005,1.546911148
Djibouti,2005,3.104966401
Dominica,2005,1.681900799
Denmark,2005,1.817814583
Dominican Republic,2005,4.190202605
Algeria,2005,1.382446567
East Asia & Pacific (excluding high income),2005,4.540369196
Early-demographic dividend,2005,4.821700507
East Asia & Pacific,2005,3.037023326
Europe & Central Asia (excluding high income),2005,7.87957983
Europe & Central Asia,2005,2.609323082
Ecuador,2005,2.168277012
"Egypt, Arab Rep.",2005,4.869396969
Euro area,2005,2.487696652
Eritrea,2005,
Spain,2005,3.368814098
Estonia,2005,4.079714232
Ethiopia,2005,9.969971235
European Union,2005,2.487696652
Fragile and conflict affected situations,2005,7.285506405
Finland,2005,0.62387445
Fiji,2005,2.365764538
France,2005,1.745869364
Faroe Islands,2005,
"Micronesia, Fed. Sts.",2005,4.257699782
Gabon,2005,3.708333333
United Kingdom,2005,2.08913649
Georgia,2005,8.247090431
Ghana,2005,15.43899202
Gibraltar,2005,
Guinea,2005,31.37330259
"Gambia, The",2005,4.838621775
Guinea-Bissau,2005,3.329199228
Equatorial Guinea,2005,5.631633514
Greece,2005,3.545072733
Grenada,2005,3.475806938
Greenland,2005,
Guatemala,2005,9.108649857
Guam,2005,
Guyana,2005,6.925543039
High income,2005,2.560161323
"Hong Kong SAR, China",2005,0.826446281
Honduras,2005,8.809060748
Heavily indebted poor countries (HIPC),2005,8.169546049
Croatia,2005,3.317178244
Haiti,2005,13.97300833
Hungary,2005,3.561517114
IBRD only,2005,4.821700507
IDA & IBRD total,2005,6.014758226
IDA total,2005,6.880937849
IDA blend,2005,3.094490115
Indonesia,2005,10.45319842
IDA only,2005,7.165417599
Isle of Man,2005,
India,2005,4.24634362
Not classified,2005,
Ireland,2005,2.429691984
"Iran, Islamic Rep.",2005,13.43311801
Iraq,2005,36.95948092
Iceland,2005,3.987047828
Israel,2005,1.313485114
Italy,2005,1.985292985
Jamaica,2005,15.05286589
Jordan,2005,3.493685346
Japan,2005,-0.282946069
Kazakhstan,2005,7.579999291
Kenya,2005,10.31277836
Kyrgyz Republic,2005,4.338673918
Cambodia,2005,6.61525912
Kiribati,2005,
St. Kitts and Nevis,2005,3.37781904
"Korea, Rep.",2005,2.753791627
Kuwait,2005,4.142975836
Latin America & Caribbean (excluding high income),2005,5.051019627
Lao PDR,2005,7.165417599
Lebanon,2005,
Liberia,2005,10.83435885
Libya,2005,2.650205761
St. Lucia,2005,3.898273708
Latin America & Caribbean,2005,4.440575657
Least developed countries: UN classification,2005,7.564080617
Low income,2005,8.448726423
Liechtenstein,2005,
Sri Lanka,2005,11.6396861
Lower middle income,2005,5.955042501
Low & middle income,2005,6.421296482
Lesotho,2005,3.437884231
Late-demographic dividend,2005,4.142975836
Lithuania,2005,2.658484841
Luxembourg,2005,2.487696652
Latvia,2005,6.748450279
"Macao SAR, China",2005,4.395892843
St. Martin (French part),2005,
Morocco,2005,0.98264166
Monaco,2005,
Moldova,2005,11.95918372
Madagascar,2005,18.36382465
Maldives,2005,1.300275009
Middle East & North Africa,2005,3.104966401
Mexico,2005,3.988057146
Marshall Islands,2005,
Middle income,2005,5.038838071
North Macedonia,2005,0.525515951
Mali,2005,6.397882939
Malta,2005,3.007966525
Myanmar,2005,9.368618142
Middle East & North Africa (excluding high income),2005,3.800468027
Montenegro,2005,
Mongolia,2005,12.71656741
Northern Mariana Islands,2005,
Mozambique,2005,6.427552781
Mauritania,2005,12.12564872
Mauritius,2005,4.93717005
Malawi,2005,15.41034466
Malaysia,2005,2.975070927
North America,2005,2.80314944
Namibia,2005,2.28194607
New Caledonia,2005,
Niger,2005,7.797497818
Nigeria,2005,17.86349337
Nicaragua,2005,9.599099861
Netherlands,2005,1.688130179
Norway,2005,1.532133676
Nepal,2005,6.836332659
Nauru,2005,
New Zealand,2005,3.037023326
OECD members,2005,2.469598987
Oman,2005,1.909835535
Other small states,2005,3.329199228
Pakistan,2005,9.06332737
Panama,2005,3.181705195
Peru,2005,1.616301939
Philippines,2005,6.516853933
Palau,2005,3.951462352
Papua New Guinea,2005,1.780804399
Poland,2005,2.183798724
Pre-demographic dividend,2005,7.797497818
Puerto Rico,2005,
"Korea, Dem. People's Rep.",2005,
Portugal,2005,2.277163949
Paraguay,2005,6.807382031
West Bank and Gaza,2005,4.107250707
Pacific island small states,2005,3.951462352
Post-demographic dividend,2005,2.37531959
French Polynesia,2005,
Qatar,2005,8.814395323
Romania,2005,9.014912833
Russian Federation,2005,12.68530395
Rwanda,2005,9.014089181
South Asia,2005,6.941475411
Saudi Arabia,2005,0.479230398
Sudan,2005,8.505850759
Senegal,2005,1.711333259
Singapore,2005,0.425106277
Solomon Islands,2005,7.330663416
Sierra Leone,2005,
El Salvador,2005,4.690948709
San Marino,2005,1.685488905
Somalia,2005,
Serbia,2005,16.11998065
Sub-Saharan Africa (excluding high income),2005,6.605240855
South Sudan,2005,
Sub-Saharan Africa,2005,6.427552781
Small states,2005,3.475806938
Sao Tome and Principe,2005,17.15220494
Suriname,2005,9.898004896
Slovak Republic,2005,2.709084946
Slovenia,2005,2.451501323
Sweden,2005,0.453170853
Eswatini,2005,4.774004046
Sint Maarten (Dutch part),2005,
Seychelles,2005,0.907187718
Syrian Arab Republic,2005,7.240349393
Turks and Caicos Islands,2005,
Chad,2005,7.890365675
East Asia & Pacific (IDA & IBRD countries),2005,4.540369196
Europe & Central Asia (IDA & IBRD countries),2005,7.579999291
Togo,2005,6.78292893
Thailand,2005,4.540369196
Tajikistan,2005,7.091932441
Turkmenistan,2005,
Latin America & the Caribbean (IDA & IBRD countries),2005,4.69511305
Timor-Leste,2005,1.111674004
Middle East & North Africa (IDA & IBRD countries),2005,3.493685346
Tonga,2005,8.665692211
South Asia (IDA & IBRD),2005,6.941475411
Sub-Saharan Africa (IDA & IBRD countries),2005,6.427552781
Trinidad and Tobago,2005,6.874534596
